,count,mean,std,min,25%,50%,75%,max
case_id,5000.0,4391.6906,2797.0207440561067,1.0,1819.75,4609.5,6552.5,9999.0
Hospital_code,5000.0,18.1306,8.886244240810708,1.0,10.0,20.0,26.0,32.0
Hospital_type_code,5000.0,1.3914,1.5750245015351625,0.0,0.0,1.0,2.0,6.0
City_Code_Hospital,5000.0,4.7694,3.1305884042383068,1.0,2.0,5.0,7.0,13.0
Hospital_region_code,5000.0,0.7858,0.7375819720092721,0.0,0.0,1.0,1.0,2.0
Available_Extra_Rooms_in_Hospital,5000.0,3.307,1.081750912644589,1.0,3.0,3.0,4.0,8.0
Department,5000.0,1.9096,0.5778361523163679,0.0,2.0,2.0,2.0,4.0
Ward_Type,5000.0,1.9818,0.8311479539674491,0.0,1.0,2.0,3.0,4.0
Ward_Facility_Code,5000.0,3.2852,1.6584363244358953,0.0,2.0,4.0,5.0,5.0
Bed_Grade,5000.0,2.9146,0.8739906246192715,1.0,2.0,3.0,4.0,4.0
patientid,5000.0,67547.5662,34163.47669736246,3001.0,36534.25,67169.0,94557.75,131507.0
City_Code_Patient,5000.0,7.3076,3.3731376864234752,1.0,7.0,8.0,8.0,25.0
Type_of_Admission,5000.0,0.7138,0.6151140000411381,0.0,0.0,1.0,1.0,2.0
Severity_of_Illness,5000.0,1.5672,0.7389136341087058,0.0,1.0,2.0,2.0,2.0
Visitors_with_Patient,5000.0,3.4856,1.8372990430397307,2.0,2.0,3.0,4.0,14.0
Age,5000.0,44.3872,17.06780413959656,0.0,31.0,41.0,61.0,91.0
Admission_Deposit,5000.0,4620.9596,969.5018429753223,2238.0,3912.75,4647.0,5129.0,8539.0
Stay,5000.0,33.271,20.82153371520097,0.0,20.0,21.0,51.0,100.0
